title,release_date,type,runtime,genre,director,cast,country,language,production_company,synopsis,tags,imdb_rating,imdb_review_count,imdb_id
어카운턴트,2016-10-13,movie,128,"범죄, 스릴러, 드라마",,,,,Zero Gravity Management,,"prison, sniper, assassin, autism, military service, money, treasury department, sniper rifle, gunfight, loner, hand to hand combat, numbers, accountant, math genius, brother brother relationship",,,tt2140479
와일드 어웨이크닝,2016-10-23,movie,105,"드라마, 로맨스, 스릴러",,,,,Realizando Historias Films,,"murder, in the closet, gay theme",,,tt6126506
미 비포 유,2016-06-01,movie,110,"드라마, 로맨스",,,,,New Line Cinema,,"depression, small town, based on novel or book, england, artist, wheelchair, romance, love, caretaker, caregiver, disabled, valentine's day, twenty something, woman director, accident",,,tt2674426
주토피아,2016-02-11,movie,108,"애니메이션, 모험, 가족, 코미디",,,,,Walt Disney Animation Studios,,"sheep, allegory, lion, hippopotamus, cartoon, villain, bullying, polar bear, con artist, anthropomorphism, revenge, conspiracy, urban, female protagonist, rookie cop, missing person, fable, racial prejudice, injustice, reconciliation, female villain, buddy cop, stereotype, cartoon rabbit, villain arrested, discrimination, cartoon bear, cartoon animal, cartoon fox, cartoon elephant, cheerful, farcical, joyful",,,tt2948356
너의 이름은,2016-08-26,movie,106,"애니메이션, 로맨스, 드라마",,,,,CoMix Wave Films,,"high school, race against time, dreams, afterlife, natural disaster, supernatural, time travel, comet, romance, tragedy, school, body-swap, high school student, nonlinear timeline, star crossed lovers, anime, japanese high school",,,tt5311514
컨택트,2016-11-10,movie,116,"드라마, SF, 미스터리",,,,,FilmNation Entertainment,,"spacecraft, extraterrestrial technology, loss, time, alien, language, female protagonist, scientist, heartbreak, based on short story, alien contact, military, alien language, linguist, first contact, communication, linguistics, time-manipulation, determinism, time manipulation",,,tt2543164
데드풀,2016-02-09,movie,108,"액션, 모험, 코미디",,,,,20th Century Fox,,"superhero, anti hero, mercenary, based on comic, aftercreditsstinger, duringcreditsstinger",,,tt1431045
아가씨,2016-06-01,movie,144,"스릴러, 드라마, 로맨스",,,,,Moho Film,,"jealousy, based on novel or book, library, pickpocket, con man, swindler, lesbian relationship, mansion, lust, lgbt, noblewoman, erotic thriller, con woman, 1930s, lady's maid, handmade, seducer, japanese occupation of korea, lesbian, girls love, amused, bold, comforting, excited",,,tt4016934
닥터 스트레인지,2016-10-25,movie,115,"액션, 모험, 판타지",,,,,Marvel Studios,,"magic, superhero, training, time, based on comic, sorcerer, doctor, neurosurgeon, wizard, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu), suspenseful",,,tt1211837
부산행,2016-07-20,movie,118,"공포, 스릴러, 액션, 모험",,,,,Next Entertainment World,,"zombie, train, survival horror, macabre, pandemic, hostile, hopeless, busan, south korea, south korea, intense, cruel, disheartening, frightened, ghoulish, zombies",,,tt5700672
