Ceremony,Year,Class,Category,Film,Name,Winner,FilmId
93,2020,Acting,ACTOR IN A LEADING ROLE,Sound of Metal,Riz Ahmed,,
93,2020,Acting,ACTOR IN A LEADING ROLE,Ma Rainey's Black Bottom,Chadwick Boseman,,
93,2020,Acting,ACTOR IN A LEADING ROLE,The Father,Anthony Hopkins,True,
93,2020,Acting,ACTOR IN A LEADING ROLE,Mank,Gary Oldman,,
93,2020,Acting,ACTOR IN A LEADING ROLE,Minari,Steven Yeun,,
93,2020,Acting,ACTOR IN A SUPPORTING ROLE,The Trial of the Chicago 7,Sacha Baron Cohen,,
93,2020,Acting,ACTOR IN A SUPPORTING ROLE,Judas and the Black Messiah,Daniel Kaluuya,True,
93,2020,Acting,ACTOR IN A SUPPORTING ROLE,One Night in Miami...,"Leslie Odom, Jr.",,
93,2020,Acting,ACTOR IN A SUPPORTING ROLE,Sound of Metal,Paul Raci,,
93,2020,Acting,ACTOR IN A SUPPORTING ROLE,Judas and the Black Messiah,Lakeith Stanfield,,
93,2020,Acting,ACTRESS IN A LEADING ROLE,Ma Rainey's Black Bottom,Viola Davis,,
93,2020,Acting,ACTRESS IN A LEADING ROLE,The United States vs. Billie Holiday,Andra Day,,
93,2020,Acting,ACTRESS IN A LEADING ROLE,Pieces of a Woman,Vanessa Kirby,,
93,2020,Acting,ACTRESS IN A LEADING ROLE,Nomadland,Frances McDormand,True,
93,2020,Acting,ACTRESS IN A LEADING ROLE,Promising Young Woman,Carey Mulligan,,
93,2020,Acting,ACTRESS IN A SUPPORTING ROLE,Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,Maria Bakalova,,
93,2020,Acting,ACTRESS IN A SUPPORTING ROLE,Hillbilly Elegy,Glenn Close,,
93,2020,Acting,ACTRESS IN A SUPPORTING ROLE,The Father,Olivia Colman,,
93,2020,Acting,ACTRESS IN A SUPPORTING ROLE,Mank,Amanda Seyfried,,
93,2020,Acting,ACTRESS IN A SUPPORTING ROLE,Minari,Yuh-Jung Youn,True,
93,2020,Title,ANIMATED FEATURE FILM,Onward,Dan Scanlon and Kori Rae,,
93,2020,Title,ANIMATED FEATURE FILM,Over the Moon,"Glen Keane, Gennie Rim and Peilin Chou",,
93,2020,Title,ANIMATED FEATURE FILM,A Shaun the Sheep Movie: Farmageddon,"Richard Phelan, Will Becher and Paul Kewley",,
93,2020,Title,ANIMATED FEATURE FILM,Soul,Pete Docter and Dana Murray,True,
93,2020,Title,ANIMATED FEATURE FILM,Wolfwalkers,"Tomm Moore, Ross Stewart, Paul Young and Stéphan Roelants",,
93,2020,Production,CINEMATOGRAPHY,Judas and the Black Messiah,Sean Bobbitt,,
93,2020,Production,CINEMATOGRAPHY,Mank,Erik Messerschmidt,True,
93,2020,Production,CINEMATOGRAPHY,News of the World,Dariusz Wolski,,
93,2020,Production,CINEMATOGRAPHY,Nomadland,Joshua James Richards,,
93,2020,Production,CINEMATOGRAPHY,The Trial of the Chicago 7,Phedon Papamichael,,
93,2020,Production,COSTUME DESIGN,Emma,Alexandra Byrne,,
93,2020,Production,COSTUME DESIGN,Ma Rainey's Black Bottom,Ann Roth,True,
93,2020,Production,COSTUME DESIGN,Mank,Trish Summerville,,
93,2020,Production,COSTUME DESIGN,Mulan,Bina Daigeler,,
93,2020,Production,COSTUME DESIGN,Pinocchio,Massimo Cantini Parrini,,
93,2020,Directing,DIRECTING,Another Round,Thomas Vinterberg,,
93,2020,Directing,DIRECTING,Mank,David Fincher,,
93,2020,Directing,DIRECTING,Minari,Lee Isaac Chung,,
93,2020,Directing,DIRECTING,Nomadland,Chloé Zhao,True,
93,2020,Directing,DIRECTING,Promising Young Woman,Emerald Fennell,,
93,2020,Title,DOCUMENTARY (Feature),Collective,Alexander Nanau and Bianca Oana,,
93,2020,Title,DOCUMENTARY (Feature),Crip Camp,"Nicole Newnham, Jim LeBrecht and Sara Bolder",,
93,2020,Title,DOCUMENTARY (Feature),The Mole Agent,Maite Alberdi and Marcela Santibáñez,,
93,2020,Title,DOCUMENTARY (Feature),My Octopus Teacher,"Pippa Ehrlich, James Reed and Craig Foster",True,
93,2020,Title,DOCUMENTARY (Feature),Time,"Garrett Bradley, Lauren Domino and Kellen Quinn",,
93,2020,Title,DOCUMENTARY (Short Subject),Colette,Anthony Giacchino and Alice Doyard,True,
93,2020,Title,DOCUMENTARY (Short Subject),A Concerto Is a Conversation,Ben Proudfoot and Kris Bowers,,
93,2020,Title,DOCUMENTARY (Short Subject),Do Not Split,Anders Hammer and Charlotte Cook,,
93,2020,Title,DOCUMENTARY (Short Subject),Hunger Ward,Skye Fitzgerald and Michael Scheuerman,,
93,2020,Title,DOCUMENTARY (Short Subject),A Love Song for Latasha,Sophia Nahli Allison and Janice Duncan,,
93,2020,Production,FILM EDITING,The Father,Yorgos Lamprinos,,
93,2020,Production,FILM EDITING,Nomadland,Chloé Zhao,,
93,2020,Production,FILM EDITING,Promising Young Woman,Frédéric Thoraval,,
93,2020,Production,FILM EDITING,Sound of Metal,Mikkel E. G. Nielsen,True,
93,2020,Production,FILM EDITING,The Trial of the Chicago 7,Alan Baumgarten,,
93,2020,Title,INTERNATIONAL FEATURE FILM,Another Round,Denmark,True,
93,2020,Title,INTERNATIONAL FEATURE FILM,Better Days,Hong Kong,,
93,2020,Title,INTERNATIONAL FEATURE FILM,Collective,Romania,,
93,2020,Title,INTERNATIONAL FEATURE FILM,The Man Who Sold His Skin,Tunisia,,
93,2020,Title,INTERNATIONAL FEATURE FILM,"Quo Vadis, Aida?",Bosnia and Herzegovina,,
93,2020,Production,MAKEUP AND HAIRSTYLING,Emma,"Marese Langan, Laura Allen and Claudia Stolze",,
93,2020,Production,MAKEUP AND HAIRSTYLING,Hillbilly Elegy,"Eryn Krueger Mekash, Matthew Mungle and Patricia Dehaney",,
93,2020,Production,MAKEUP AND HAIRSTYLING,Ma Rainey's Black Bottom,"Sergio Lopez-Rivera, Mia Neal and Jamika Wilson",True,
93,2020,Production,MAKEUP AND HAIRSTYLING,Mank,"Gigi Williams, Kimberley Spiteri and Colleen LaBaff",,
93,2020,Production,MAKEUP AND HAIRSTYLING,Pinocchio,"Mark Coulier, Dalia Colli and Francesco Pegoretti",,
93,2020,Music,MUSIC (Original Score),Da 5 Bloods,Terence Blanchard,,
93,2020,Music,MUSIC (Original Score),Mank,Trent Reznor and Atticus Ross,,
93,2020,Music,MUSIC (Original Score),Minari,Emile Mosseri,,
93,2020,Music,MUSIC (Original Score),News of the World,James Newton Howard,,
93,2020,Music,MUSIC (Original Score),Soul,"Trent Reznor, Atticus Ross and Jon Batiste",True,
93,2020,Music,MUSIC (Original Song),Judas and the Black Messiah,Music by H.E.R. and Dernst Emile II; Lyric by H.E.R. and Tiara Thomas,True,
93,2020,Music,MUSIC (Original Song),The Trial of the Chicago 7,Music by Daniel Pemberton; Lyric by Daniel Pemberton and Celeste Waite,,
93,2020,Music,MUSIC (Original Song),Eurovision Song Contest: The Story of Fire Saga,"Music and Lyric by Savan Kotecha, Fat Max Gsus and Rickard Göransson",,
93,2020,Music,MUSIC (Original Song),The Life Ahead (La Vita Davanti a Se),Music by Diane Warren; Lyric by Diane Warren and Laura Pausini,,
93,2020,Music,MUSIC (Original Song),One Night in Miami...,"Music and Lyric by Leslie Odom, Jr. and Sam Ashworth",,
93,2020,Title,BEST PICTURE,The Father,"David Parfitt, Jean-Louis Livi and Philippe Carcassonne, Producers",,
93,2020,Title,BEST PICTURE,Judas and the Black Messiah,"Shaka King, Charles D. King and Ryan Coogler, Producers",,
93,2020,Title,BEST PICTURE,Mank,"Ceán Chaffin, Eric Roth and Douglas Urbanski, Producers",,
93,2020,Title,BEST PICTURE,Minari,"Christina Oh, Producer",,
93,2020,Title,BEST PICTURE,Nomadland,"Frances McDormand, Peter Spears, Mollye Asher, Dan Janvey and Chloé Zhao, Producers",True,
93,2020,Title,BEST PICTURE,Promising Young Woman,"Ben Browning, Ashley Fox, Emerald Fennell and Josey McNamara, Producers",,
93,2020,Title,BEST PICTURE,Sound of Metal,"Bert Hamelinck and Sacha Ben Harroche, Producers",,
93,2020,Title,BEST PICTURE,The Trial of the Chicago 7,"Marc Platt and Stuart Besser, Producers",,
93,2020,Production,PRODUCTION DESIGN,The Father,Production Design: Peter Francis; Set Decoration: Cathy Featherstone,,
93,2020,Production,PRODUCTION DESIGN,Ma Rainey's Black Bottom,Production Design: Mark Ricker; Set Decoration: Karen O'Hara and Diana Stoughton,,
93,2020,Production,PRODUCTION DESIGN,Mank,Production Design: Donald Graham Burt; Set Decoration: Jan Pascale,True,
93,2020,Production,PRODUCTION DESIGN,News of the World,Production Design: David Crank; Set Decoration: Elizabeth Keenan,,
93,2020,Production,PRODUCTION DESIGN,Tenet,Production Design: Nathan Crowley; Set Decoration: Kathy Lucas,,
93,2020,Title,SHORT FILM (Animated),Burrow,Madeline Sharafian and Michael Capbarat,,
93,2020,Title,SHORT FILM (Animated),Genius Loci,Adrien Mérigeau and Amaury Ovise,,
93,2020,Title,SHORT FILM (Animated),If Anything Happens I Love You,Will McCormack and Michael Govier,True,
93,2020,Title,SHORT FILM (Animated),Opera,Erick Oh,,
93,2020,Title,SHORT FILM (Animated),Yes-People,Gísli Darri Halldórsson and Arnar Gunnarsson,,
93,2020,Title,SHORT FILM (Live Action),Feeling Through,Doug Roland and Susan Ruzenski,,
93,2020,Title,SHORT FILM (Live Action),The Letter Room,Elvira Lind and Sofia Sondervan,,
93,2020,Title,SHORT FILM (Live Action),The Present,Farah Nabulsi and Ossama Bawardi,,
93,2020,Title,SHORT FILM (Live Action),Two Distant Strangers,Travon Free and Martin Desmond Roe,True,
93,2020,Title,SHORT FILM (Live Action),White Eye,Tomer Shushan and Shira Hochman,,
93,2020,Production,SOUND,Greyhound,"Warren Shaw, Michael Minkler, Beau Borders and David Wyman",,
93,2020,Production,SOUND,Mank,"Ren Klyce, Jeremy Molod, David Parker, Nathan Nance and Drew Kunin",,
93,2020,Production,SOUND,News of the World,"Oliver Tarney, Mike Prestwood Smith, William Miller and John Pritchett",,
93,2020,Production,SOUND,Soul,"Ren Klyce, Coya Elliott and David Parker",,
93,2020,Production,SOUND,Sound of Metal,"Nicolas Becker, Jaime Baksht, Michellee Couttolenc, Carlos Cortés and Phillip Bladh",True,
93,2020,Production,VISUAL EFFECTS,Love and Monsters,"Matt Sloan, Genevieve Camilleri, Matt Everitt and Brian Cox",,
93,2020,Production,VISUAL EFFECTS,The Midnight Sky,"Matthew Kasmir, Christopher Lawrence, Max Solomon and David Watkins",,
93,2020,Production,VISUAL EFFECTS,Mulan,"Sean Faden, Anders Langlands, Seth Maury and Steve Ingram",,
93,2020,Production,VISUAL EFFECTS,The One and Only Ivan,"Nick Davis, Greg Fisher, Ben Jones and Santiago Colomo Martinez",,
93,2020,Production,VISUAL EFFECTS,Tenet,"Andrew Jackson, David Lee, Andrew Lockley and Scott Fisher",True,
93,2020,Writing,WRITING (Adapted Screenplay),Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,Screenplay by Sacha Baron Cohen & Anthony Hines & Dan Swimer & Peter Baynham & Erica Rivinoja & Dan Mazer & Jena Friedman & Lee Kern; Story by Sacha Baron Cohen & Anthony Hines & Dan Swimer & Nina Pedrad,,
93,2020,Writing,WRITING (Adapted Screenplay),The Father,Screenplay by Christopher Hampton and Florian Zeller,True,
93,2020,Writing,WRITING (Adapted Screenplay),Nomadland,Written for the screen by Chloé Zhao,,
93,2020,Writing,WRITING (Adapted Screenplay),One Night in Miami...,Screenplay by Kemp Powers,,
93,2020,Writing,WRITING (Adapted Screenplay),The White Tiger,Written for the screen by Ramin Bahrani,,
93,2020,Writing,WRITING (Original Screenplay),Judas and the Black Messiah,Screenplay by Will Berson & Shaka King; Story by Will Berson & Shaka King and Kenny Lucas & Keith Lucas,,
93,2020,Writing,WRITING (Original Screenplay),Minari,Written by Lee Isaac Chung,,
93,2020,Writing,WRITING (Original Screenplay),Promising Young Woman,Written by Emerald Fennell,True,
93,2020,Writing,WRITING (Original Screenplay),Sound of Metal,Screenplay by Darius Marder & Abraham Marder; Story by Darius Marder & Derek Cianfrance,,
93,2020,Writing,WRITING (Original Screenplay),The Trial of the Chicago 7,Written by Aaron Sorkin,,
