country,country_name,title,release_date,vote_average,vote_count
US,United States,Succubus,2024-10-06,9.5,157
US,United States,Ghost: Rite Here Rite Now,2024-06-20,8.758,64
US,United States,The Wild Robot,2024-09-12,8.313,5077
US,United States,The Forge,2024-08-22,8.304,280
US,United States,Gaga Chromatica Ball,2024-05-23,8.3,69
US,United States,Ultraman: Rising,2024-06-14,8.2,327
US,United States,Dune: Part Two,2024-02-27,8.1,6751
US,United States,Super/Man: The Christopher Reeve Story,2024-09-21,8.1,154
US,United States,Music by John Williams,2024-11-01,8.1,63
US,United States,Transformers One,2024-09-11,8.073,1282
JP,Japan,Attack on Titan: THE LAST ATTACK,2024-11-08,8.747,81
JP,Japan,Drawing Closer,2024-06-26,8.3,157
JP,Japan,Ultraman: Rising,2024-06-14,8.2,327
JP,Japan,Look Back,2024-06-28,8.019,365
JP,Japan,OVERLORD: The Sacred Kingdom,2024-09-20,7.8,105
JP,Japan,HAIKYU!! The Dumpster Battle,2024-02-16,7.6,185
JP,Japan,Baki Hanma VS Kengan Ashura,2024-06-05,7.5,296
JP,Japan,BLUE LOCK THE MOVIE -EPISODE NAGI-,2024-04-19,7.405,195
JP,Japan,My Oni Girl,2024-05-24,7.3,72
JP,Japan,Monsters 103 Mercies Dragon Damnation,2024-01-21,7.1,122
IN,India,Maharaja,2024-06-14,7.8,149
IN,India,Lost Ladies,2024-03-01,7.76,102
IN,India,Manjummel Boys,2024-02-22,7.667,57
IN,India,Aavesham,2024-04-11,7.4,64
IN,India,Bramayugam,2024-02-15,7.4,50
IN,India,Amaran,2024-10-31,7.4,232
IN,India,Star,2024-05-10,7.3,83
IN,India,Kill,2024-07-03,7.164,382
IN,India,Sector 36,2024-08-18,7.037,67
IN,India,Devara: Part 1,2024-09-26,6.9,195
GB,United Kingdom,The Greatest Night in Pop,2024-01-19,7.893,244
GB,United Kingdom,10 Lives,2024-04-18,7.8,189
GB,United Kingdom,Federer: Twelve Final Days,2024-06-13,7.6,61
GB,United Kingdom,Wallace & Gromit: Vengeance Most Fowl,2024-12-18,7.558,504
GB,United Kingdom,Cunk on Life,2024-12-05,7.338,108
GB,United Kingdom,We Live in Time,2024-10-10,7.317,891
GB,United Kingdom,Bird,2024-11-08,7.3,147
GB,United Kingdom,That Christmas,2024-11-27,7.2,347
GB,United Kingdom,The Hunted,2024-01-18,7.2,78
GB,United Kingdom,The Substance,2024-09-07,7.145,4750
CN,China,Dragonkeeper,2024-04-11,7.653,189
CN,China,Black Dog,2024-06-14,7.301,151
CN,China,The Prosecutor,2024-12-08,7.229,59
CN,China,Anaconda,2024-03-01,7.193,88
CN,China,Pegasus 2,2024-02-10,7.2,62
CN,China,Successor,2024-07-13,6.9,62
CN,China,Panda Plan,2024-10-01,6.894,207
CN,China,Escape from the 21st Century,2024-07-18,6.764,72
CN,China,Yolo,2024-02-10,6.427,82
CN,China,Eye for an Eye 2,2024-07-21,6.349,53
KR,South Korea,Officer Black Belt,2024-09-12,7.757,294
KR,South Korea,Exhuma,2024-02-22,7.557,522
KR,South Korea,My Name Is Loh Kiwan,2024-02-19,7.4,136
KR,South Korea,Escape,2024-07-03,7.2,50
KR,South Korea,Wonderland,2024-06-05,7.121,112
KR,South Korea,Uprising,2024-10-02,7.067,172
KR,South Korea,Project Silence,2024-07-11,7.001,344
KR,South Korea,Bogotá: City of the Lost,2024-12-31,7.0,85
KR,South Korea,Mission: Cross,2024-08-08,6.963,134
KR,South Korea,"I, the Executioner",2024-09-13,6.833,72
