country,country_name,title,release_date,vote_average,vote_count
US,United States,Folklore: The Long Pond Studio Sessions,2020-11-25,8.5,165
US,United States,Gabriel's Inferno,2020-05-29,8.411,2423
US,United States,Gabriel's Inferno: Part II,2020-07-31,8.4,1522
US,United States,Gabriel's Inferno: Part III,2020-11-19,8.4,1058
US,United States,RBD: Ser o Parecer (En Vivo),2020-12-26,8.4,83
US,United States,Lucy Shimmers and the Prince of Peace,2020-10-19,8.365,312
US,United States,Clouds,2020-10-09,8.249,1020
US,United States,Life in a Year,2020-11-27,8.2,1918
US,United States,BLACKPINK: Light Up the Sky,2020-10-14,8.2,502
US,United States,Justice League Dark: Apokolips War,2020-05-05,8.2,1494
JP,Japan,"Josee, the Tiger and the Fish",2020-12-25,8.305,509
JP,Japan,Given,2020-08-22,8.281,401
JP,Japan,Violet Evergarden: The Movie,2020-09-18,8.3,447
JP,Japan,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,2020-10-16,8.209,4106
JP,Japan,Digimon Adventure: Last Evolution Kizuna,2020-02-21,8.2,243
JP,Japan,The Stranger by the Shore,2020-09-11,8.0,135
JP,Japan,A Whisker Away,2020-06-18,7.9,1418
JP,Japan,Date A Bullet: Nightmare or Queen,2020-11-13,7.9,52
JP,Japan,Stand by Me Doraemon 2,2020-11-20,7.8,230
JP,Japan,Made in Abyss: Dawn of the Deep Soul,2020-01-17,7.773,245
IN,India,Soorarai Pottru,2020-11-12,7.7,99
IN,India,Ayyappanum Koshiyum,2020-02-07,7.7,60
IN,India,Gunjan Saxena: The Kargil Girl,2020-08-12,7.4,81
IN,India,Ludo,2020-11-12,7.218,108
IN,India,Angrezi Medium,2020-03-13,7.1,60
IN,India,Thappad,2020-02-27,7.0,57
IN,India,Malang,2020-02-06,6.9,57
IN,India,Kannum Kannum Kollaiyadithaal,2020-02-28,6.8,68
IN,India,AK vs AK,2020-12-24,6.8,53
IN,India,Raat Akeli Hai,2020-07-31,6.821,70
GB,United Kingdom,David Attenborough: A Life on Our Planet,2020-09-28,8.451,387
GB,United Kingdom,Rising Phoenix,2020-08-26,8.2,97
GB,United Kingdom,The Father,2020-12-23,8.113,3343
GB,United Kingdom,Muse: Simulation Theory,2020-08-17,7.7,67
GB,United Kingdom,The Gentlemen,2020-01-01,7.681,6108
GB,United Kingdom,The Kissing Booth 2,2020-07-24,7.628,5042
GB,United Kingdom,Summerland,2020-07-24,7.6,213
GB,United Kingdom,Beastie Boys Story,2020-04-24,7.544,171
GB,United Kingdom,Here We Are: Notes for Living on Planet Earth,2020-04-16,7.5,69
GB,United Kingdom,The Windermere Children,2020-01-27,7.46,113
CN,China,One Second,2020-11-27,7.461,103
CN,China,The Yin-Yang Master: Dream of Eternity,2020-12-24,7.361,201
CN,China,Jiang Ziya,2020-10-01,7.3,184
CN,China,The Eight Hundred,2020-08-14,6.945,284
CN,China,The Rescue,2020-12-18,6.8,50
CN,China,The Perilous Internet Ring,2020-10-30,6.7,68
CN,China,Double World,2020-07-21,6.7,234
CN,China,The Hunt,2020-03-11,6.628,3363
CN,China,Monster Hunter,2020-12-03,6.556,3391
CN,China,Enter the Fat Dragon,2020-01-23,6.4,117
KR,South Korea,Break the Silence: The Movie,2020-09-10,9.049,184
KR,South Korea,Pawn,2020-09-29,8.355,62
KR,South Korea,BLACKPINK: Light Up the Sky,2020-10-14,8.2,502
KR,South Korea,Innocence,2020-06-10,7.737,97
KR,South Korea,The Swordsman,2020-09-23,7.543,269
KR,South Korea,The Call,2020-11-23,7.517,873
KR,South Korea,Voice of Silence,2020-10-15,7.4,90
KR,South Korea,#Alive,2020-06-24,7.225,1894
KR,South Korea,Josée,2020-12-10,7.211,57
KR,South Korea,The Closet,2020-02-05,7.2,190
US,United States,Billie Eilish: The World's a Little Blurry,2021-02-26,8.3,315
US,United States,Palmer,2021-01-28,8.131,1752
US,United States,Zack Snyder's Justice League,2021-03-18,8.117,10261
US,United States,All Too Well: The Short Film,2021-11-12,8.1,272
US,United States,Far from the Tree,2021-11-24,8.1,379
US,United States,Bo Burnham: Inside,2021-07-22,8.035,537
US,United States,Cruella,2021-05-26,7.992,9614
US,United States,The Rescue,2021-10-08,7.9,231
US,United States,Spider-Man: No Way Home,2021-12-15,7.944,20831
US,United States,Nobody,2021-03-18,7.924,7454
JP,Japan,Evangelion: 3.0+1.0 Thrice Upon a Time,2021-03-08,8.2,855
JP,Japan,Gintama: The Very Final,2021-01-08,8.2,63
JP,Japan,Pretty Guardian Sailor Moon Eternal the Movie Part 2,2021-02-11,8.162,164
JP,Japan,Jujutsu Kaisen 0,2021-12-24,8.1,1513
JP,Japan,Puparia,2021-09-23,7.918,55
JP,Japan,Sword Art Online the Movie – Progressive – Aria of a Starless Night,2021-10-30,7.9,301
JP,Japan,Tokyo Revengers,2021-07-09,7.9,229
JP,Japan,Pretty Guardian Sailor Moon Eternal the Movie Part 1,2021-01-08,7.851,184
JP,Japan,Rurouni Kenshin: The Final,2021-04-23,7.7,501
JP,Japan,The Seven Deadly Sins: Cursed by Light,2021-07-02,7.7,492
IN,India,Drishyam 2,2021-02-19,7.5,116
IN,India,Jai Bhim,2021-11-02,7.423,183
IN,India,Joji,2021-04-07,7.4,56
IN,India,Karnan,2021-04-09,7.3,57
IN,India,Shershaah,2021-08-12,7.276,98
IN,India,83,2021-12-23,7.2,56
IN,India,Minnal Murali,2021-12-16,7.147,312
IN,India,Sardar Udham,2021-10-16,7.111,104
IN,India,Pushpa - The Rise,2021-12-16,7.0,147
IN,India,Mimi,2021-07-26,6.9,81
GB,United Kingdom,The Year Earth Changed,2021-04-15,7.9,112
GB,United Kingdom,Ron's Gone Wrong,2021-10-14,7.889,1912
GB,United Kingdom,Being James Bond,2021-08-29,7.7,88
GB,United Kingdom,TINA,2021-08-20,7.7,73
GB,United Kingdom,The Alpinist,2021-02-07,7.673,150
GB,United Kingdom,Hilda and the Mountain King,2021-12-30,7.509,168
GB,United Kingdom,The Mauritanian,2021-02-12,7.414,1154
GB,United Kingdom,The Sparks Brothers,2021-06-18,7.39,86
