country,country_name,title,release_date,vote_average,vote_count
US,United States,Billie Eilish: The World's a Little Blurry,2021-02-26,8.3,315
US,United States,Palmer,2021-01-28,8.131,1752
US,United States,Zack Snyder's Justice League,2021-03-18,8.117,10261
US,United States,All Too Well: The Short Film,2021-11-12,8.1,272
US,United States,Far from the Tree,2021-11-24,8.1,379
US,United States,Bo Burnham: Inside,2021-07-22,8.035,537
US,United States,Cruella,2021-05-26,7.992,9614
US,United States,The Rescue,2021-10-08,7.9,231
US,United States,Spider-Man: No Way Home,2021-12-15,7.944,20831
US,United States,Nobody,2021-03-18,7.924,7454
JP,Japan,Evangelion: 3.0+1.0 Thrice Upon a Time,2021-03-08,8.2,855
JP,Japan,Gintama: The Very Final,2021-01-08,8.2,63
JP,Japan,Pretty Guardian Sailor Moon Eternal the Movie Part 2,2021-02-11,8.162,164
JP,Japan,Jujutsu Kaisen 0,2021-12-24,8.1,1513
JP,Japan,Puparia,2021-09-23,7.918,55
JP,Japan,Sword Art Online the Movie – Progressive – Aria of a Starless Night,2021-10-30,7.9,301
JP,Japan,Tokyo Revengers,2021-07-09,7.9,229
JP,Japan,Pretty Guardian Sailor Moon Eternal the Movie Part 1,2021-01-08,7.851,184
JP,Japan,Rurouni Kenshin: The Final,2021-04-23,7.7,501
JP,Japan,The Seven Deadly Sins: Cursed by Light,2021-07-02,7.7,492
IN,India,Drishyam 2,2021-02-19,7.5,116
IN,India,Jai Bhim,2021-11-02,7.423,183
IN,India,Joji,2021-04-07,7.4,56
IN,India,Karnan,2021-04-09,7.3,57
IN,India,Shershaah,2021-08-12,7.276,98
IN,India,83,2021-12-23,7.2,56
IN,India,Minnal Murali,2021-12-16,7.147,312
IN,India,Sardar Udham,2021-10-16,7.111,104
IN,India,Pushpa - The Rise,2021-12-16,7.0,147
IN,India,Mimi,2021-07-26,6.9,81
GB,United Kingdom,The Year Earth Changed,2021-04-15,7.9,112
GB,United Kingdom,Ron's Gone Wrong,2021-10-14,7.889,1912
GB,United Kingdom,Being James Bond,2021-08-29,7.7,88
GB,United Kingdom,TINA,2021-08-20,7.7,73
GB,United Kingdom,The Alpinist,2021-02-07,7.673,150
GB,United Kingdom,Hilda and the Mountain King,2021-12-30,7.509,168
GB,United Kingdom,The Mauritanian,2021-02-12,7.414,1154
GB,United Kingdom,The Sparks Brothers,2021-06-18,7.39,86
GB,United Kingdom,The Last Letter from Your Lover,2021-07-23,7.4,624
GB,United Kingdom,Firebird,2021-10-29,7.4,195
CN,China,Green Snake,2021-07-23,8.1,327
CN,China,New Gods: Nezha Reborn,2021-02-06,8.095,462
CN,China,B for Busy,2021-12-24,7.7,54
CN,China,Super Me,2021-04-09,7.482,113
CN,China,Catman,2021-05-18,7.4,204
CN,China,Cloudy Mountain,2021-09-11,7.261,238
CN,China,The Monkey King: Reborn,2021-04-02,7.196,331
CN,China,I Am What I Am,2021-12-11,7.127,55
CN,China,A Writer's Odyssey,2021-02-12,7.091,324
CN,China,"Hi, Mom",2021-02-12,7.0,150
KR,South Korea,Sweet & Sour,2021-06-04,7.762,225
KR,South Korea,Hard Hit,2021-06-23,7.541,208
KR,South Korea,Mission: Possible,2021-02-17,7.5,180
KR,South Korea,The Cursed: Dead Man's Prey,2021-07-28,7.5,137
KR,South Korea,Wish You,2021-01-15,7.4,87
KR,South Korea,Miracle: Letters to the President,2021-09-15,7.3,64
KR,South Korea,Ghost Mansion,2021-06-30,7.3,220
KR,South Korea,Shark: The Beginning,2021-11-26,7.264,53
KR,South Korea,Midnight,2021-06-30,7.3,271
KR,South Korea,Seobok,2021-04-12,7.2,228
