title,release_date,type,runtime,season_count,episode_count,genre,director,cast,country,language,production_company,synopsis,tags,imdb_rating,imdb_review_count,text_input,production_company_is_missing,cast_is_missing,director_is_missing
Return to Silent Hill,2026-01-22,movie,96.0,1.0,1.0,"Horror, Mystery",Christophe Gans,"Jeremy Irvine, Hannah Emily Anderson, Evie Templeton, Pearse Egan, Eve Macklin",en,en,"Konami, Davis Films, Hassell Free Productions, Ashland Hill Media Finance, Moonlith Films","When a mysterious letter calls James back to Silent Hill in search of his one truelove, he finds a once-recognizable town transformed by an unknown evil. As James descends deeper into the darkness, he encounters terrifying figures both familiar and new and begins to question his own sanity as he struggles to make sense of reality and hold on long enough to save his lost love.",based on video game,0.0,0,"When a mysterious letter calls James back to Silent Hill in search of his one truelove, he finds a once-recognizable town transformed by an unknown evil. As James descends deeper into the darkness, he encounters terrifying figures both familiar and new and begins to question his own sanity as he struggles to make sense of reality and hold on long enough to save his lost love. Horror, Mystery",0,0,0
The Rip,2026-01-15,movie,133.0,1.0,1.0,"Crime, Thriller",Joe Carnahan,"Matt Damon, Ben Affleck, Teyana Taylor, Sasha Calle, Kyle Chandler",US,en,Artists Equity,"After a team of Miami cops discovers millions in cash inside a derelict stash house, trust frays as everything — and everyone — is called into question.","miami, florida",0.0,0,"After a team of Miami cops discovers millions in cash inside a derelict stash house, trust frays as everything — and everyone — is called into question. Crime, Thriller",0,0,0
Urchin,2026-02-11,movie,99.0,1.0,1.0,"Comedy, Drama",Harris Dickinson,"Frank Dillane, Megan Northam, Amr Waked, Karyna Khymchuk, Shonagh Marie",GB,en,"Devisio Pictures, BBC Film, Tricky Knot, Somesuch","Mike, a rough sleeper in London, trapped in a cycle of self-destruction as he attempts to turn his life around.","london, england",0.0,0,"Mike, a rough sleeper in London, trapped in a cycle of self-destruction as he attempts to turn his life around. Comedy, Drama",0,0,0
Смешарики: Сквозь вселенные,2026-08-13,movie,85.0,1.0,1.0,"Science Fiction, Adventure","Andrey Marmontov, Ilya Maksimov","Nikolai Dobrynin, Yan Tsapnik, Ivan Agapov, Lyudmila Artemeva, Aleksandr Lykov",RU,ru,Riki Group,"Smeshariki Krosh and Yozhik find an unusual device in the Chamomile Valley that takes them to a game about the future, where they are ordinary children on a spaceship flying to Mars. The adventures begin when the heroes realize that this is not a game."," family,  short film, dark comedy",0.0,0,"Smeshariki Krosh and Yozhik find an unusual device in the Chamomile Valley that takes them to a game about the future, where they are ordinary children on a spaceship flying to Mars. The adventures begin when the heroes realize that this is not a game. Science Fiction, Adventure",0,0,0
BORN SEXY YESTERDAY: Decoding the Enigma of Beauty,2026-01-30,movie,60.0,1.0,1.0,"Documentary, Crime, Drama, Mystery, History",unknown,"Emunah La-Paz, Lavender Lashay, Aleks Montijah, Kim Corder",US,en,Little Ant Productions LLC.,"October 1, 1985. The chilling emptiness in Michele Avila's eyes. Her murder, a savage ballet of teenage fury, ripped through the town, festering wounds exposing the venomous underbelly of a seemingly innocent friendship. Jealousy, a serpent coiled in the heart of adolescence, struck with the force of a viper, revealing the terrifying depths of envy's reach. These weren't just girls; they were predators. Women are born with many layers, a mix between good and evil. Out of all the positive tropes that can validate the existence of women, why is it that ""Born Sexy Yesterday"" is a trope that resonates with our male counterparts the most?","women's sexual identity, women's suffrage, social issues, teen social issues, social scandal, crime documentary, troubled relationships, overcoming obstacles",0.0,0,"October 1, 1985. The chilling emptiness in Michele Avila's eyes. Her murder, a savage ballet of teenage fury, ripped through the town, festering wounds exposing the venomous underbelly of a seemingly innocent friendship. Jealousy, a serpent coiled in the heart of adolescence, struck with the force of a viper, revealing the terrifying depths of envy's reach. These weren't just girls; they were predators. Women are born with many layers, a mix between good and evil. Out of all the positive tropes that can validate the existence of women, why is it that ""Born Sexy Yesterday"" is a trope that resonates with our male counterparts the most? Documentary, Crime, Drama, Mystery, History",0,0,1
B-Roll,2026-01-16,movie,95.0,1.0,1.0,,Travis Long,"Josh Brener, Karan Soni, Katy Stoll, Meghan Falcone, Adam Herschman",US,en,Zurty Studios,A disgraced local TV news reporter enlists the help of a wannabe journalist and a career film student to produce a documentary to revive his career.," family,  short film, dark comedy",0.0,0,A disgraced local TV news reporter enlists the help of a wannabe journalist and a career film student to produce a documentary to revive his career. ,0,0,0
G.O.D. Tech,2026-12-15,movie,120.0,1.0,1.0,"Thriller, Adventure, Science Fiction",David John Jeffery,"Raki Dey, Eric Roberts, Frazer Hines, Grace Chim, Magnus Dugdale","GB, US",en,Invisible Sword Productions,You are following the lives of a family who have chosen not to take the microchip implant but instead live a life with no home and consistently on the run from the one world government known as the F.A.T.H.E.R.,"dystopia, apocalypse",0.0,0,"You are following the lives of a family who have chosen not to take the microchip implant but instead live a life with no home and consistently on the run from the one world government known as the F.A.T.H.E.R. Thriller, Adventure, Science Fiction",0,0,0
LEGO Ninjago: Rewind,2026-12-25,movie,130.0,1.0,1.0,"Action, Science Fiction, Comedy, Animation",The Lego Knight,"BC’Bricks, Ry, Goldfish Army, Cassi Archives, Firescratcher",US,en,LYCU Studios,"Set a while after the last film, the ninja are growing up, the question of where their life goes next is their biggest priority… that is until a pair of twins from their parents past, threaten to alter the past and change their future forever, as if it’s not enough drama Jay and Cole accidentally get split up from the rest of team and get sent back to the 90s, where they finally meet their mothers.  Time is ticking will the ninja stop these twins, or will they win and prevent them from ever being born","time travel, ninja",0.0,0,"Set a while after the last film, the ninja are growing up, the question of where their life goes next is their biggest priority… that is until a pair of twins from their parents past, threaten to alter the past and change their future forever, as if it’s not enough drama Jay and Cole accidentally get split up from the rest of team and get sent back to the 90s, where they finally meet their mothers.  Time is ticking will the ninja stop these twins, or will they win and prevent them from ever being born Action, Science Fiction, Comedy, Animation",0,0,0
Nino by Night,2026-01-07,movie,100.0,1.0,1.0,Drama,Laurent Micheli,"Oscar Högström, Mara Taquin, Bilal Hassani, Théo Augier, Félix Maritaud","BE, FR",fr,"Haut et Court, Wrong Men, MARKS","Nino lives with Lale, the woman who sets his heart on fire. Surrounded by Malik and Charlie, they lead a life of scavenging and search for their place in a world that seems hopeless."," family,  short film, dark comedy",0.0,0,"Nino lives with Lale, the woman who sets his heart on fire. Surrounded by Malik and Charlie, they lead a life of scavenging and search for their place in a world that seems hopeless. Drama",0,0,0
Своя в доску,2026-04-02,movie,90.0,1.0,1.0,Comedy,Ilya Lebedev,"Olga Lerman, Viktor Horinyak, Timofey Kochnev, Maxim Karushev, Alexandra Tikhonova",RU,ru,"Nashe Kino, Artkinoclub","A strict physics teacher tries to dissuade her teenage son from leaving school and becoming a professional skateboarder. She makes a bet with him that if he competes in a major skateboarding competition, he will stay in school. Under the guidance of her failing student, she learns to skate, unaware that she is putting her career and reputation at risk."," family,  short film, dark comedy",0.0,0,"A strict physics teacher tries to dissuade her teenage son from leaving school and becoming a professional skateboarder. She makes a bet with him that if he competes in a major skateboarding competition, he will stay in school. Under the guidance of her failing student, she learns to skate, unaware that she is putting her career and reputation at risk. Comedy",0,0,0
